Label,Description,Expression,0_CARS,1_CAR_1CV,1_CAR_1AV,2_CARS_2CV,2_CARS_2AV,2_CARS_1CV1AV,3_CARS_3CV,3_CARS_3AV,3_CARS_2CV1AV,3_CARS_1CV2AV,4_CARS_4CV
,Boolean indicating that household is in SF county,"if(hhCountyId == SFID, 1, 0)",1.2332760511969916,,,,,,,,,,
,alternative specific constant for 1 driver household,drivers==1,-1.9201438418054002,,,-0.9348896838665202,-0.9348896838665202,-0.9348896838665202,-1.9047335311289202,-1.9047335311289202,-1.9047335311289202,-1.9047335311289202,-2.48800370880708
,alternative specific constant for 2 driver household,drivers==2,-3.470781624166,-2.20339718015692,-2.20339718015692,,,,-0.8293541420357601,-0.8293541420357601,-0.8293541420357601,-0.8293541420357601,-1.7783115810138
,alternative specific constant for 3 driver household,drivers==3,-3.32963345878764,-2.47306136481584,-2.47306136481584,-0.31749668223731603,-0.31749668223731603,-0.31749668223731603,,,,,-0.533915593478048
,alternative specific constant for 4+ driver household,drivers>=4,-6.1114944952736,-3.9839658367649604,-3.9839658367649604,-0.90962660324256,-0.90962660324256,-0.90962660324256,-0.52442789236688,-0.52442789236688,-0.52442789236688,-0.52442789236688,
,workers to drivers ratio for 1 driver household,(drivers==1) * (workers/drivers),-1.4642565565108,,,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748
,workers to drivers ratio for 2 driver household,(drivers==2) * (workers/drivers),-1.4642565565108,-0.407798012743976,-0.407798012743976,,,,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748,0.474996825997748
,workers to drivers ratio for 3 driver household,(drivers==3) * (workers/drivers),-1.4642565565108,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,,,,,0.474996825997748
,workers to drivers ratio for 4+ driver household,(drivers>=4) * (workers/drivers),-1.4642565565108,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,-0.407798012743976,
,young adults to drivers ratio for 1 driver household,(drivers==1) * (youngAdults/drivers),-1.7697676077883602,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,young adults to drivers ratio for 2 driver household,(drivers==2) * (youngAdults/drivers),-1.7697676077883602,-0.598263092644136,-0.598263092644136,,,,0.0,0.0,0.0,0.0,0.0
,young adults to drivers ratio for 3 driver household,(drivers==3) * (youngAdults/drivers),-1.7697676077883602,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,,,,,0.0
,young adults to drivers ratio for 4+ driver household,(drivers>=4) * (youngAdults/drivers),-1.7697676077883602,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,-0.598263092644136,
,school children to drivers ratio for 1 driver household,(drivers==1) * (schoolChildren/drivers),-0.34641508802482,,,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201
,school children to drivers ratio for 2 driver household,(drivers==2) * (schoolChildren/drivers),-0.34641508802482,-0.018572552828396,-0.018572552828396,,,,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201,0.10875856280903201
,school children to drivers ratio for 3 driver household,(drivers==3) * (schoolChildren/drivers),-0.34641508802482,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,,,,,0.10875856280903201
,school children to drivers ratio for 4+ driver household,(drivers>=4) * (schoolChildren/drivers),-0.34641508802482,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,-0.018572552828396,
,young retirees to drivers ratio for 1 driver household,(drivers==1) * (youngRetirees/drivers),-0.38172486979782005,,,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604
,young retirees to drivers ratio for 2 driver household,(drivers==2) * (youngRetirees/drivers),-0.38172486979782005,-0.198619149641132,-0.198619149641132,,,,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604,0.28676360958893604
,young retirees to drivers ratio for 3 driver household,(drivers==3) * (youngRetirees/drivers),-0.38172486979782005,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,,,,,0.28676360958893604
,young retirees to drivers ratio for 4+ driver household,(drivers>=4) * (youngRetirees/drivers),-0.38172486979782005,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,-0.198619149641132,
,old retirees to drivers ratio for 1 driver household,(drivers==1) * (oldRetirees/drivers),0.6087000533583841,,,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332
,old retirees to drivers ratio for 2 driver household,(drivers==2) * (oldRetirees/drivers),0.6087000533583841,0.23267270760003603,0.23267270760003603,,,,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332,-0.90102048407332
,old retirees to drivers ratio for 3 driver household,(drivers==3) * (oldRetirees/drivers),0.6087000533583841,0.23267270760003603,0.23267270760003603,0.23267270760003603,0.23267270760003603,0.23267270760003603,,,,,-0.90102048407332
